,failureType
31999,Edge-Ring
48029,Loc
66423,Near-full
86182,Scratch
76392,Random
34254,Edge-Ring
45540,Loc
57576,Near-full
60000,Near-full
34598,Edge-Ring
33624,Edge-Ring
2111,Center
84359,Scratch
58576,Near-full
49100,Loc
64916,Near-full
51034,Loc
42439,Loc
81619,Scratch
42805,Loc
49836,Loc
7682,Center
93966,Scratch
3300,Center
39275,Edge-Ring
25964,Edge-Loc
52476,Loc
24493,Edge-Loc
21280,Edge-Loc
34052,Edge-Ring
74018,Random
67755,Random
28806,Edge-Ring
13635,Edge-Loc
29806,Edge-Ring
79692,Random
28999,Edge-Ring
57094,Near-full
30730,Edge-Ring
10799,Center
47124,Loc
8042,Center
25364,Edge-Loc
69570,Random
91669,Scratch
69649,Random
6958,Center
58175,Near-full
20860,Edge-Loc
92482,Scratch
13605,Edge-Loc
8447,Center
43872,Loc
57306,Near-full
31318,Edge-Ring
72724,Random
45375,Loc
81988,Scratch
62516,Near-full
54359,Near-full
68166,Random
36999,Edge-Ring
50329,Loc
36778,Edge-Ring
16545,Edge-Loc
57728,Near-full
56960,Near-full
86747,Scratch
82133,Scratch
60312,Near-full
5887,Center
54729,Near-full
29847,Edge-Ring
87165,Scratch
77825,Random
78924,Random
6793,Center
41018,Loc
30621,Edge-Ring
90847,Scratch
59031,Near-full
10910,Center
59588,Near-full
64919,Near-full
18613,Edge-Loc
2488,Center
47225,Loc
52345,Loc
45549,Loc
83420,Scratch
45697,Loc
30382,Edge-Ring
45100,Loc
2047,Center
54615,Near-full
58839,Near-full
53955,Near-full
73001,Random
63468,Near-full
61056,Near-full
91273,Scratch
82708,Scratch
50066,Loc
8152,Center
64788,Near-full
26161,Edge-Loc
12659,Center
86715,Scratch
24064,Edge-Loc
17716,Edge-Loc
55285,Near-full
82541,Scratch
86916,Scratch
66165,Near-full
80952,Scratch
58547,Near-full
69311,Random
69490,Random
80050,Random
25832,Edge-Loc
39284,Edge-Ring
14895,Edge-Loc
43970,Loc
726,Center
21765,Edge-Loc
53920,Loc
29299,Edge-Ring
65499,Near-full
50471,Loc
16702,Edge-Loc
36160,Edge-Ring
43110,Loc
73502,Random
75202,Random
16693,Edge-Loc
12107,Center
85725,Scratch
40012,Edge-Ring
71223,Random
47077,Loc
60602,Near-full
40866,Loc
53938,Loc
92538,Scratch
58154,Near-full
45096,Loc
83618,Scratch
73620,Random
33440,Edge-Ring
70412,Random
8272,Center
28324,Edge-Ring
10681,Center
4009,Center
29601,Edge-Ring
49698,Loc
65540,Near-full
3750,Center
51515,Loc
1347,Center
15528,Edge-Loc
90301,Scratch
54722,Near-full
72910,Random
47250,Loc
79975,Random
54995,Near-full
81730,Scratch
14081,Edge-Loc
24785,Edge-Loc
14287,Edge-Loc
11679,Center
92566,Scratch
41078,Loc
87379,Scratch
43533,Loc
36491,Edge-Ring
91361,Scratch
23944,Edge-Loc
24109,Edge-Loc
48275,Loc
15251,Edge-Loc
91755,Scratch
19814,Edge-Loc
467,Center
30079,Edge-Ring
11821,Center
64216,Near-full
42019,Loc
90263,Scratch
18059,Edge-Loc
82208,Scratch
51633,Loc
73954,Random
25238,Edge-Loc
12836,Center
44955,Loc
39796,Edge-Ring
40282,Edge-Ring
75643,Random
20293,Edge-Loc
4860,Center
58968,Near-full
36589,Edge-Ring
43399,Loc
78809,Random
78366,Random
78108,Random
36807,Edge-Ring
2962,Center
42858,Loc
67613,Random
39321,Edge-Ring
64407,Near-full
38990,Edge-Ring
47133,Loc
76119,Random
21344,Edge-Loc
88168,Scratch
76449,Random
36753,Edge-Ring
812,Center
32265,Edge-Ring
34664,Edge-Ring
91419,Scratch
15895,Edge-Loc
63211,Near-full
54414,Near-full
4563,Center
91642,Scratch
40229,Edge-Ring
83884,Scratch
81337,Scratch
22844,Edge-Loc
54261,Near-full
92823,Scratch
155,Center
77809,Random
16522,Edge-Loc
75019,Random
80134,Random
38706,Edge-Ring
73614,Random
77538,Random
20354,Edge-Loc
62336,Near-full
89132,Scratch
16202,Edge-Loc
76396,Random
76997,Random
84039,Scratch
49945,Loc
9115,Center
55183,Near-full
52202,Loc
84390,Scratch
11437,Center
18694,Edge-Loc
5296,Center
22097,Edge-Loc
82898,Scratch
85578,Scratch
59385,Near-full
12098,Center
29113,Edge-Ring
22795,Edge-Loc
52187,Loc
9862,Center
75137,Random
4688,Center
7398,Center
89448,Scratch
81688,Scratch
24591,Edge-Loc
60006,Near-full
37458,Edge-Ring
10003,Center
76784,Random
9294,Center
49844,Loc
17342,Edge-Loc
87577,Scratch
85265,Scratch
13932,Edge-Loc
54547,Near-full
27991,Edge-Ring
22961,Edge-Loc
86614,Scratch
28396,Edge-Ring
15806,Edge-Loc
6107,Center
45081,Loc
75459,Random
75901,Random
90640,Scratch
78624,Random
36354,Edge-Ring
33051,Edge-Ring
73610,Random
39812,Edge-Ring
24385,Edge-Loc
41781,Loc
65071,Near-full
17832,Edge-Loc
60680,Near-full
60429,Near-full
64169,Near-full
89797,Scratch
76853,Random
35528,Edge-Ring
37288,Edge-Ring
42130,Loc
29780,Edge-Ring
18752,Edge-Loc
57536,Near-full
20691,Edge-Loc
34512,Edge-Ring
59523,Near-full
9040,Center
26967,Edge-Loc
53761,Loc
24815,Edge-Loc
47828,Loc
22572,Edge-Loc
8737,Center
56674,Near-full
72635,Random
25746,Edge-Loc
697,Center
78573,Random
79881,Random
74976,Random
78421,Random
57006,Near-full
18726,Edge-Loc
25839,Edge-Loc
45368,Loc
49035,Loc
59057,Near-full
68139,Random
92789,Scratch
11099,Center
86531,Scratch
91471,Scratch
73931,Random
17857,Edge-Loc
90904,Scratch
54553,Near-full
26842,Edge-Loc
7175,Center
83980,Scratch
91421,Scratch
61521,Near-full
22636,Edge-Loc
23522,Edge-Loc
59573,Near-full
13719,Edge-Loc
65349,Near-full
42699,Loc
8196,Center
90081,Scratch
92605,Scratch
47983,Loc
82866,Scratch
89648,Scratch
79409,Random
8879,Center
11028,Center
39039,Edge-Ring
9654,Center
78673,Random
80517,Random
80908,Random
72500,Random
4446,Center
74706,Random
7814,Center
82101,Scratch
57983,Near-full
25739,Edge-Loc
49756,Loc
49552,Loc
2967,Center
60077,Near-full
75092,Random
30398,Edge-Ring
50985,Loc
16596,Edge-Loc
21588,Edge-Loc
90788,Scratch
15160,Edge-Loc
39329,Edge-Ring
87356,Scratch
38340,Edge-Ring
46973,Loc
2935,Center
4105,Center
22742,Edge-Loc
25333,Edge-Loc
37591,Edge-Ring
50147,Loc
25654,Edge-Loc
54303,Near-full
12523,Center
18573,Edge-Loc
33308,Edge-Ring
49903,Loc
62744,Near-full
62492,Near-full
88897,Scratch
57971,Near-full
49566,Loc
53867,Loc
84954,Scratch
16752,Edge-Loc
72022,Random
70492,Random
62222,Near-full
94387,Scratch
23906,Edge-Loc
37369,Edge-Ring
41199,Loc
15929,Edge-Loc
72435,Random
11128,Center
71163,Random
67268,Near-full
88405,Scratch
31978,Edge-Ring
54837,Near-full
28427,Edge-Ring
58177,Near-full
69705,Random
48328,Loc
15614,Edge-Loc
80294,Random
49000,Loc
5542,Center
20093,Edge-Loc
70284,Random
5483,Center
62620,Near-full
36926,Edge-Ring
3621,Center
65856,Near-full
52546,Loc
48111,Loc
61249,Near-full
47505,Loc
8421,Center
61819,Near-full
27868,Edge-Ring
63405,Near-full
70944,Random
6524,Center
74747,Random
54759,Near-full
72710,Random
47493,Loc
19368,Edge-Loc
20298,Edge-Loc
42018,Loc
71060,Random
4442,Center
4343,Center
71885,Random
86479,Scratch
69445,Random
93516,Scratch
36872,Edge-Ring
14323,Edge-Loc
77047,Random
87326,Scratch
18753,Edge-Loc
38716,Edge-Ring
1776,Center
36056,Edge-Ring
61600,Near-full
17581,Edge-Loc
37678,Edge-Ring
65855,Near-full
89062,Scratch
4357,Center
85460,Scratch
9511,Center
73037,Random
75107,Random
42673,Loc
66468,Near-full
20151,Edge-Loc
83441,Scratch
25106,Edge-Loc
1267,Center
41101,Loc
88862,Scratch
66830,Near-full
82674,Scratch
74187,Random
56828,Near-full
37203,Edge-Ring
23715,Edge-Loc
31718,Edge-Ring
86990,Scratch
23713,Edge-Loc
71576,Random
84030,Scratch
57150,Near-full
85266,Scratch
38074,Edge-Ring
56090,Near-full
31612,Edge-Ring
46449,Loc
91065,Scratch
21506,Edge-Loc
32159,Edge-Ring
64779,Near-full
36321,Edge-Ring
88502,Scratch
84711,Scratch
51347,Loc
89369,Scratch
38941,Edge-Ring
9951,Center
70277,Random
45771,Loc
89558,Scratch
40953,Loc
52681,Loc
25397,Edge-Loc
8680,Center
48459,Loc
7711,Center
62918,Near-full
45112,Loc
25760,Edge-Loc
91790,Scratch
81785,Scratch
30772,Edge-Ring
88936,Scratch
82487,Scratch
7722,Center
11244,Center
21160,Edge-Loc
47399,Loc
14069,Edge-Loc
93320,Scratch
88680,Scratch
68801,Random
37130,Edge-Ring
66243,Near-full
73730,Random
32522,Edge-Ring
49381,Loc
52637,Loc
4896,Center
83514,Scratch
15278,Edge-Loc
51650,Loc
19885,Edge-Loc
61018,Near-full
51746,Loc
78516,Random
58207,Near-full
83531,Scratch
62523,Near-full
907,Center
2096,Center
18683,Edge-Loc
62667,Near-full
12931,Center
37248,Edge-Ring
21903,Edge-Loc
91451,Scratch
64066,Near-full
26302,Edge-Loc
92422,Scratch
58026,Near-full
37474,Edge-Ring
53840,Loc
73413,Random
25922,Edge-Loc
92908,Scratch
79407,Random
19608,Edge-Loc
28488,Edge-Ring
84536,Scratch
89121,Scratch
43064,Loc
25763,Edge-Loc
7439,Center
88465,Scratch
39021,Edge-Ring
49433,Loc
52493,Loc
46304,Loc
26962,Edge-Loc
44870,Loc
61989,Near-full
18446,Edge-Loc
76862,Random
1763,Center
45712,Loc
14374,Edge-Loc
40728,Loc
26411,Edge-Loc
64506,Near-full
67226,Near-full
30358,Edge-Ring
2006,Center
73770,Random
62993,Near-full
1008,Center
90389,Scratch
59116,Near-full
71940,Random
36490,Edge-Ring
55491,Near-full
9404,Center
28084,Edge-Ring
51391,Loc
32356,Edge-Ring
19550,Edge-Loc
84300,Scratch
70774,Random
52169,Loc
31040,Edge-Ring
47910,Loc
62070,Near-full
55220,Near-full
79846,Random
80902,Random
63207,Near-full
64771,Near-full
6426,Center
53585,Loc
1182,Center
70110,Random
28043,Edge-Ring
33702,Edge-Ring
42893,Loc
41668,Loc
5563,Center
11742,Center
2995,Center
68046,Random
38781,Edge-Ring
20938,Edge-Loc
28712,Edge-Ring
3295,Center
62635,Near-full
19307,Edge-Loc
68285,Random
87790,Scratch
33586,Edge-Ring
40903,Loc
14310,Edge-Loc
75887,Random
93088,Scratch
44631,Loc
29204,Edge-Ring
59877,Near-full
19219,Edge-Loc
35841,Edge-Ring
54208,Near-full
35280,Edge-Ring
33885,Edge-Ring
25846,Edge-Loc
29191,Edge-Ring
51574,Loc
82678,Scratch
40803,Loc
55764,Near-full
37196,Edge-Ring
37808,Edge-Ring
40410,Edge-Ring
36989,Edge-Ring
23348,Edge-Loc
60328,Near-full
48453,Loc
82111,Scratch
31328,Edge-Ring
42518,Loc
65095,Near-full
73261,Random
29881,Edge-Ring
24473,Edge-Loc
65446,Near-full
27884,Edge-Ring
19534,Edge-Loc
82007,Scratch
39629,Edge-Ring
51679,Loc
9962,Center
61503,Near-full
3482,Center
58810,Near-full
3404,Center
69623,Random
1058,Center
53767,Loc
45839,Loc
2637,Center
872,Center
93395,Scratch
80105,Random
59495,Near-full
24451,Edge-Loc
6169,Center
78812,Random
9529,Center
46527,Loc
79352,Random
62211,Near-full
63209,Near-full
72042,Random
86737,Scratch
44453,Loc
42592,Loc
65743,Near-full
79464,Random
47743,Loc
5441,Center
5710,Center
77395,Random
69322,Random
73970,Random
69057,Random
66728,Near-full
63019,Near-full
6091,Center
92071,Scratch
24953,Edge-Loc
77005,Random
46883,Loc
25112,Edge-Loc
91368,Scratch
11049,Center
16398,Edge-Loc
35358,Edge-Ring
89304,Scratch
3357,Center
83716,Scratch
40212,Edge-Ring
93800,Scratch
76927,Random
7921,Center
84416,Scratch
16663,Edge-Loc
47565,Loc
80205,Random
76646,Random
71384,Random
21690,Edge-Loc
35137,Edge-Ring
89574,Scratch
73045,Random
80305,Random
88599,Scratch
17406,Edge-Loc
19866,Edge-Loc
37163,Edge-Ring
8506,Center
23867,Edge-Loc
75943,Random
62503,Near-full
89194,Scratch
25976,Edge-Loc
21224,Edge-Loc
65286,Near-full
61914,Near-full
78898,Random
29076,Edge-Ring
86769,Scratch
80057,Random
32289,Edge-Ring
20146,Edge-Loc
45843,Loc
82266,Scratch
75590,Random
16511,Edge-Loc
81,Center
13313,Center
91436,Scratch
64435,Near-full
3371,Center
21057,Edge-Loc
37184,Edge-Ring
19070,Edge-Loc
91993,Scratch
81559,Scratch
1878,Center
46487,Loc
67672,Random
13426,Center
30828,Edge-Ring
19558,Edge-Loc
18,Center
57779,Near-full
52034,Loc
30741,Edge-Ring
18019,Edge-Loc
7055,Center
40208,Edge-Ring
31534,Edge-Ring
45171,Loc
44806,Loc
92517,Scratch
22193,Edge-Loc
52854,Loc
17956,Edge-Loc
31028,Edge-Ring
23709,Edge-Loc
59809,Near-full
65578,Near-full
86122,Scratch
33955,Edge-Ring
46141,Loc
90761,Scratch
11564,Center
15738,Edge-Loc
2802,Center
67864,Random
53053,Loc
5141,Center
79348,Random
73255,Random
89014,Scratch
51345,Loc
9498,Center
88626,Scratch
80219,Random
11595,Center
29654,Edge-Ring
8320,Center
44537,Loc
66677,Near-full
86415,Scratch
73412,Random
88655,Scratch
1870,Center
22680,Edge-Loc
49881,Loc
28244,Edge-Ring
76497,Random
62408,Near-full
87139,Scratch
12440,Center
8046,Center
35938,Edge-Ring
50223,Loc
15308,Edge-Loc
90232,Scratch
94257,Scratch
29187,Edge-Ring
9689,Center
51945,Loc
30450,Edge-Ring
29887,Edge-Ring
15003,Edge-Loc
43950,Loc
91908,Scratch
62375,Near-full
29097,Edge-Ring
15797,Edge-Loc
94120,Scratch
57229,Near-full
40840,Loc
88865,Scratch
32811,Edge-Ring
69494,Random
416,Center
53607,Loc
34281,Edge-Ring
5528,Center
8603,Center
1606,Center
11512,Center
86044,Scratch
53944,Near-full
52195,Loc
33625,Edge-Ring
33129,Edge-Ring
58296,Near-full
29001,Edge-Ring
8091,Center
6860,Center
68077,Random
1305,Center
60835,Near-full
42961,Loc
56929,Near-full
2848,Center
12619,Center
53519,Loc
90151,Scratch
17884,Edge-Loc
25082,Edge-Loc
51530,Loc
69210,Random
28016,Edge-Ring
27082,Edge-Ring
7357,Center
48509,Loc
38643,Edge-Ring
85465,Scratch
43962,Loc
11324,Center
8770,Center
24741,Edge-Loc
56352,Near-full
28926,Edge-Ring
82754,Scratch
11295,Center
81578,Scratch
67302,Near-full
79571,Random
72795,Random
81366,Scratch
38230,Edge-Ring
9017,Center
63856,Near-full
85896,Scratch
77416,Random
58321,Near-full
23061,Edge-Loc
43951,Loc
59009,Near-full
83624,Scratch
546,Center
22104,Edge-Loc
61485,Near-full
93165,Scratch
54868,Near-full
61399,Near-full
5719,Center
63467,Near-full
16943,Edge-Loc
59010,Near-full
47894,Loc
19634,Edge-Loc
94023,Scratch
10953,Center
63174,Near-full
6495,Center
42514,Loc
86786,Scratch
55074,Near-full
32751,Edge-Ring
8580,Center
17123,Edge-Loc
91362,Scratch
33911,Edge-Ring
22507,Edge-Loc
61188,Near-full
85908,Scratch
77046,Random
64958,Near-full
81786,Scratch
37562,Edge-Ring
16803,Edge-Loc
64442,Near-full
45705,Loc
83042,Scratch
83667,Scratch
37719,Edge-Ring
80513,Random
32794,Edge-Ring
76344,Random
52272,Loc
17084,Edge-Loc
44178,Loc
20542,Edge-Loc
85599,Scratch
22661,Edge-Loc
27019,Edge-Ring
43446,Loc
90496,Scratch
23361,Edge-Loc
47626,Loc
31069,Edge-Ring
81784,Scratch
33382,Edge-Ring
77037,Random
77206,Random
86025,Scratch
10345,Center
12437,Center
51241,Loc
92780,Scratch
88089,Scratch
60987,Near-full
68436,Random
81022,Scratch
42944,Loc
22937,Edge-Loc
83368,Scratch
1175,Center
92189,Scratch
89953,Scratch
32795,Edge-Ring
783,Center
29157,Edge-Ring
2303,Center
63490,Near-full
6259,Center
58699,Near-full
24464,Edge-Loc
24205,Edge-Loc
93133,Scratch
25959,Edge-Loc
62842,Near-full
75443,Random
40279,Edge-Ring
48037,Loc
11276,Center
48742,Loc
62913,Near-full
61616,Near-full
33556,Edge-Ring
7700,Center
86484,Scratch
30159,Edge-Ring
24375,Edge-Loc
1317,Center
40811,Loc
84600,Scratch
60773,Near-full
25858,Edge-Loc
53667,Loc
46276,Loc
93836,Scratch
86176,Scratch
47747,Loc
13973,Edge-Loc
58815,Near-full
60751,Near-full
55907,Near-full
70588,Random
72166,Random
81502,Scratch
90707,Scratch
68459,Random
53893,Loc
75266,Random
38463,Edge-Ring
73287,Random
52785,Loc
67500,Random
38375,Edge-Ring
73493,Random
89877,Scratch
36127,Edge-Ring
56409,Near-full
52069,Loc
57155,Near-full
89857,Scratch
77839,Random
52555,Loc
94271,Scratch
4403,Center
40762,Loc
64985,Near-full
82899,Scratch
16431,Edge-Loc
84782,Scratch
20126,Edge-Loc
2901,Center
79836,Random
20877,Edge-Loc
7289,Center
20445,Edge-Loc
39679,Edge-Ring
24794,Edge-Loc
85807,Scratch
34800,Edge-Ring
61474,Near-full
64304,Near-full
69305,Random
42714,Loc
33395,Edge-Ring
58274,Near-full
49870,Loc
56503,Near-full
79663,Random
1966,Center
54232,Near-full
29948,Edge-Ring
60938,Near-full
269,Center
36921,Edge-Ring
91557,Scratch
23304,Edge-Loc
81090,Scratch
1409,Center
2584,Center
76414,Random
90590,Scratch
11130,Center
19192,Edge-Loc
65132,Near-full
72052,Random
37520,Edge-Ring
51863,Loc
7569,Center
22582,Edge-Loc
19084,Edge-Loc
25600,Edge-Loc
78178,Random
53057,Loc
76130,Random
37461,Edge-Ring
81494,Scratch
68501,Random
70221,Random
11043,Center
65692,Near-full
52127,Loc
56873,Near-full
18364,Edge-Loc
46866,Loc
79580,Random
33374,Edge-Ring
71349,Random
83605,Scratch
23612,Edge-Loc
11026,Center
76871,Random
26856,Edge-Loc
66707,Near-full
88251,Scratch
15579,Edge-Loc
46599,Loc
82079,Scratch
94162,Scratch
2628,Center
7503,Center
41757,Loc
62630,Near-full
7422,Center
92917,Scratch
51660,Loc
50516,Loc
48799,Loc
21167,Edge-Loc
90826,Scratch
66262,Near-full
79377,Random
36974,Edge-Ring
62981,Near-full
90841,Scratch
80,Center
39478,Edge-Ring
31001,Edge-Ring
71034,Random
24122,Edge-Loc
44105,Loc
82345,Scratch
88205,Scratch
57214,Near-full
83726,Scratch
34492,Edge-Ring
47138,Loc
17461,Edge-Loc
70977,Random
31399,Edge-Ring
85202,Scratch
28553,Edge-Ring
59900,Near-full
29720,Edge-Ring
84076,Scratch
13999,Edge-Loc
82917,Scratch
68408,Random
87256,Scratch
73822,Random
13924,Edge-Loc
60661,Near-full
2358,Center
4869,Center
84574,Scratch
75835,Random
77625,Random
32245,Edge-Ring
80747,Random
32711,Edge-Ring
93189,Scratch
57585,Near-full
65470,Near-full
39353,Edge-Ring
79576,Random
53160,Loc
32466,Edge-Ring
42989,Loc
51755,Loc
24566,Edge-Loc
93242,Scratch
94160,Scratch
24594,Edge-Loc
44268,Loc
61528,Near-full
27456,Edge-Ring
74923,Random
876,Center
32037,Edge-Ring
48758,Loc
54113,Near-full
48135,Loc
47727,Loc
1250,Center
49524,Loc
6603,Center
17693,Edge-Loc
77587,Random
11297,Center
35294,Edge-Ring
64680,Near-full
56430,Near-full
91806,Scratch
84784,Scratch
90738,Scratch
5758,Center
92089,Scratch
71642,Random
1417,Center
81157,Scratch
85977,Scratch
69826,Random
17034,Edge-Loc
89479,Scratch
42239,Loc
60214,Near-full
58632,Near-full
36181,Edge-Ring
84203,Scratch
47896,Loc
62623,Near-full
94346,Scratch
31396,Edge-Ring
44545,Loc
36295,Edge-Ring
17291,Edge-Loc
27756,Edge-Ring
8666,Center
78048,Random
56190,Near-full
4112,Center
10298,Center
4672,Center
51900,Loc
86265,Scratch
34768,Edge-Ring
6590,Center
90938,Scratch
64956,Near-full
91174,Scratch
6271,Center
10136,Center
71547,Random
23130,Edge-Loc
87591,Scratch
67501,Random
88539,Scratch
27347,Edge-Ring
21458,Edge-Loc
42321,Loc
7279,Center
62018,Near-full
60034,Near-full
35648,Edge-Ring
40527,Loc
55129,Near-full
78006,Random
69064,Random
83593,Scratch
43414,Loc
23687,Edge-Loc
76200,Random
49746,Loc
93555,Scratch
84568,Scratch
33234,Edge-Ring
40353,Edge-Ring
16221,Edge-Loc
37905,Edge-Ring
39176,Edge-Ring
42332,Loc
28301,Edge-Ring
65607,Near-full
6349,Center
51523,Loc
76683,Random
12600,Center
52969,Loc
19850,Edge-Loc
11169,Center
88651,Scratch
18390,Edge-Loc
54736,Near-full
12123,Center
45869,Loc
7954,Center
5321,Center
41511,Loc
28119,Edge-Ring
60218,Near-full
6737,Center
29279,Edge-Ring
20912,Edge-Loc
33617,Edge-Ring
10485,Center
11133,Center
21460,Edge-Loc
36219,Edge-Ring
40073,Edge-Ring
44512,Loc
71378,Random
10924,Center
31750,Edge-Ring
67710,Random
45154,Loc
37178,Edge-Ring
37629,Edge-Ring
83592,Scratch
64669,Near-full
85405,Scratch
10304,Center
58814,Near-full
69412,Random
272,Center
72503,Random
54851,Near-full
17303,Edge-Loc
93716,Scratch
39524,Edge-Ring
47461,Loc
13796,Edge-Loc
11070,Center
36228,Edge-Ring
7221,Center
63568,Near-full
39109,Edge-Ring
5802,Center
39125,Edge-Ring
86305,Scratch
46306,Loc
72664,Random
4595,Center
71328,Random
15017,Edge-Loc
27828,Edge-Ring
22154,Edge-Loc
84541,Scratch
67139,Near-full
82881,Scratch
88705,Scratch
53450,Loc
90182,Scratch
46255,Loc
86421,Scratch
29105,Edge-Ring
59996,Near-full
6056,Center
82997,Scratch
62173,Near-full
8260,Center
13951,Edge-Loc
16099,Edge-Loc
13413,Center
63920,Near-full
35525,Edge-Ring
75940,Random
45386,Loc
76707,Random
6390,Center
12818,Center
57045,Near-full
92012,Scratch
6927,Center
12464,Center
77160,Random
10606,Center
73506,Random
76218,Random
43518,Loc
19903,Edge-Loc
17683,Edge-Loc
65764,Near-full
5005,Center
45578,Loc
67155,Near-full
87080,Scratch
87419,Scratch
70177,Random
25980,Edge-Loc
12599,Center
46709,Loc
80918,Random
49565,Loc
91786,Scratch
56857,Near-full
58450,Near-full
70537,Random
81757,Scratch
16948,Edge-Loc
9507,Center
7497,Center
93740,Scratch
33400,Edge-Ring
56174,Near-full
87938,Scratch
70017,Random
87580,Scratch
34675,Edge-Ring
29389,Edge-Ring
78116,Random
35675,Edge-Ring
94130,Scratch
78080,Random
57444,Near-full
47154,Loc
94042,Scratch
43045,Loc
71754,Random
92393,Scratch
124,Center
82384,Scratch
67592,Random
57441,Near-full
1637,Center
79773,Random
73982,Random
74693,Random
64137,Near-full
47709,Loc
62007,Near-full
44212,Loc
78441,Random
43981,Loc
81880,Scratch
47256,Loc
3964,Center
62382,Near-full
18215,Edge-Loc
7423,Center
32931,Edge-Ring
60731,Near-full
41771,Loc
82180,Scratch
30376,Edge-Ring
58564,Near-full
68469,Random
19956,Edge-Loc
84666,Scratch
23459,Edge-Loc
3639,Center
7400,Center
90105,Scratch
58740,Near-full
13415,Center
56035,Near-full
31781,Edge-Ring
34286,Edge-Ring
23508,Edge-Loc
13344,Center
94318,Scratch
80207,Random
45070,Loc
15878,Edge-Loc
35704,Edge-Ring
60992,Near-full
5382,Center
32377,Edge-Ring
43534,Loc
67831,Random
9907,Center
31463,Edge-Ring
18971,Edge-Loc
66420,Near-full
83976,Scratch
56761,Near-full
29203,Edge-Ring
72426,Random
13646,Edge-Loc
40865,Loc
69170,Random
16864,Edge-Loc
83961,Scratch
11953,Center
34652,Edge-Ring
10181,Center
62610,Near-full
26716,Edge-Loc
14313,Edge-Loc
27791,Edge-Ring
4965,Center
37844,Edge-Ring
74,Center
33005,Edge-Ring
71225,Random
93363,Scratch
62743,Near-full
48983,Loc
51360,Loc
77339,Random
52772,Loc
1997,Center
55471,Near-full
69786,Random
11230,Center
10182,Center
36638,Edge-Ring
43788,Loc
63428,Near-full
81320,Scratch
30636,Edge-Ring
36380,Edge-Ring
104,Center
38070,Edge-Ring
29713,Edge-Ring
79905,Random
62673,Near-full
43751,Loc
12489,Center
31834,Edge-Ring
84812,Scratch
67430,Near-full
31947,Edge-Ring
21910,Edge-Loc
36156,Edge-Ring
63238,Near-full
27261,Edge-Ring
51885,Loc
28722,Edge-Ring
39890,Edge-Ring
72204,Random
62204,Near-full
89319,Scratch
45650,Loc
88736,Scratch
80911,Random
40944,Loc
61100,Near-full
39671,Edge-Ring
27133,Edge-Ring
77508,Random
46696,Loc
22555,Edge-Loc
40166,Edge-Ring
59284,Near-full
23395,Edge-Loc
16317,Edge-Loc
42212,Loc
52188,Loc
2687,Center
92832,Scratch
93818,Scratch
12012,Center
46064,Loc
45608,Loc
56884,Near-full
72417,Random
75277,Random
94253,Scratch
8620,Center
92001,Scratch
72208,Random
11096,Center
53775,Loc
64963,Near-full
45895,Loc
6503,Center
792,Center
43313,Loc
33445,Edge-Ring
47036,Loc
21907,Edge-Loc
11995,Center
81295,Scratch
52666,Loc
76101,Random
26050,Edge-Loc
29742,Edge-Ring
21547,Edge-Loc
39157,Edge-Ring
14425,Edge-Loc
1621,Center
75742,Random
4417,Center
4979,Center
59737,Near-full
82458,Scratch
58807,Near-full
36788,Edge-Ring
3491,Center
69618,Random
93848,Scratch
67259,Near-full
90760,Scratch
46044,Loc
70448,Random
16178,Edge-Loc
27807,Edge-Ring
25969,Edge-Loc
90247,Scratch
55981,Near-full
56547,Near-full
71626,Random
33757,Edge-Ring
955,Center
7992,Center
26123,Edge-Loc
81879,Scratch
9065,Center
52311,Loc
49795,Loc
24766,Edge-Loc
75600,Random
53550,Loc
65879,Near-full
12875,Center
43902,Loc
64276,Near-full
53390,Loc
33706,Edge-Ring
70886,Random
45403,Loc
50680,Loc
88892,Scratch
74060,Random
46552,Loc
30962,Edge-Ring
83120,Scratch
38802,Edge-Ring
81089,Scratch
3299,Center
54903,Near-full
62616,Near-full
56380,Near-full
22882,Edge-Loc
26907,Edge-Loc
52155,Loc
54338,Near-full
50639,Loc
89281,Scratch
5283,Center
89681,Scratch
82707,Scratch
14314,Edge-Loc
33562,Edge-Ring
16917,Edge-Loc
68888,Random
42180,Loc
22327,Edge-Loc
48142,Loc
77984,Random
87357,Scratch
69176,Random
35204,Edge-Ring
310,Center
76240,Random
14727,Edge-Loc
74140,Random
15607,Edge-Loc
15790,Edge-Loc
28669,Edge-Ring
67168,Near-full
82549,Scratch
50598,Loc
16242,Edge-Loc
16507,Edge-Loc
59969,Near-full
8643,Center
70985,Random
63507,Near-full
92909,Scratch
6698,Center
82744,Scratch
67048,Near-full
63950,Near-full
83907,Scratch
75193,Random
48957,Loc
28447,Edge-Ring
58435,Near-full
89295,Scratch
29025,Edge-Ring
12883,Center
37603,Edge-Ring
9010,Center
2476,Center
64316,Near-full
60139,Near-full
36331,Edge-Ring
69430,Random
25400,Edge-Loc
75725,Random
6458,Center
49905,Loc
82760,Scratch
19564,Edge-Loc
61771,Near-full
76155,Random
20541,Edge-Loc
15921,Edge-Loc
1826,Center
92748,Scratch
23400,Edge-Loc
91426,Scratch
16646,Edge-Loc
53781,Loc
69643,Random
86453,Scratch
7148,Center
1872,Center
72806,Random
25971,Edge-Loc
83675,Scratch
86538,Scratch
49533,Loc
78752,Random
25072,Edge-Loc
43148,Loc
18513,Edge-Loc
45717,Loc
22592,Edge-Loc
65690,Near-full
